comment,comment_likes,replies,user_name,date
Ojo Lera osito Fredi fasbee jajjajajaj😂,1,[],@janeth6384,2024-02-09T18:19:51Z
Happy Lunar Year 2024 !!!,0,[],@phanthang7772,2024-02-09T18:07:06Z
ахахха😊,0,[],@user-sp3ij7jz1z,2024-02-09T18:06:14Z
I was rickrolled by a gta 6 link,0,[],@j_lnk,2024-02-09T18:04:14Z
0:15,0,[],@ShirleyStevens-hv6ht,2024-02-09T17:57:24Z
Nitip sini orang indo,0,[],@miyabee9600,2024-02-09T17:50:18Z
Message to future generations: don't let this masterpiece die!,4,['Got it'],@ch8pmunk,2024-02-09T17:39:37Z
Who is watching this in 2024?,0,['me'],@Zew493,2024-02-09T17:37:49Z
ТЕБЯ ЗА РИКРОЛИЛИ,0,[],@ROBLOXMAXIMKAWUBBOX,2024-02-09T17:20:27Z
this ain't Drake's meat Leak :(,1,[],@damnbouh6984,2024-02-09T17:12:09Z
You rickrolled,0,[],@h1miya580,2024-02-09T16:57:29Z
anyone here from antimatter dimensions?,0,"['i""m']",@notdaycrucial5179,2024-02-09T16:43:01Z
Who's watching this in 2024?,1,['오늘도 낚시를 위해…!'],@Gamer00467,2024-02-09T16:42:13Z
ok whos here from pointercrate launchpad labyrinth,0,['No way bro got rickrolled by pointercrate'],@doorboat,2024-02-09T16:34:58Z
Am i rickrolled,1,[],@user-ov4cp9lm1k,2024-02-09T16:23:04Z
RİCCKKKKKKKKKK ROOOOOLOLLLLL,0,[],@meryjyj,2024-02-09T16:22:07Z
"Поиграл в блок страйк и нашёл qr код.
I played a block strike and found the qr code.",1,[],@ST1LAZZ,2024-02-09T16:13:17Z
Пук,1,[],@Blackout_.,2024-02-09T16:10:52Z
"""The original rickroll has been taken down by copyright claim""
- a friend of mine",1,[],@andrewnotgonnatellya7019,2024-02-09T16:10:48Z
I am here because of NFC tag 💀,2,['I fr got rickrolled by chat gpt bro'],@benzin4o,2024-02-09T15:59:11Z
The best song of ever,4,"['yes', 'indeed']",@Rimoa_,2024-02-09T15:56:39Z
"If This Guy is Doing So Well , Why is He Hacking My Account",1,[],@Fubar77,2024-02-09T15:53:57Z
bruh i got this from some corn hub,2,[],@yusuf4407,2024-02-09T15:53:08Z
"Old, but gold",1,[],@zhar5,2024-02-09T15:51:05Z
Bro some random Discord bot just send me this 💀,1,[],@im_just_a_cat524,2024-02-09T15:35:58Z
"Oh my god, 1 billion views already",1,[],@user-PeWdIe2ks,2024-02-09T15:31:39Z
gon use in a tiktok lol,2,[],@thenumber1antifurry,2024-02-09T15:14:43Z
Put some respect on Rick Astley's name!,1,[],@sugafoot777,2024-02-09T15:08:42Z
"My Gf send me the link and say there's no Rick roll but when I open... 
thank you Rick roll",3,[],@Thesoul239,2024-02-09T14:50:07Z
Bruh I got Rick rolled by Freecodecamp 🤥,1,[],@hubertveyannie1799,2024-02-09T14:49:07Z
Love It,1,[],@Sha-Kamal,2024-02-09T14:49:06Z
You got me,2,[],@Mescugamer33,2024-02-09T14:45:29Z
Who came from Drake meat link??😂,2,['🤨'],@senka5196,2024-02-09T14:42:30Z
Wow,1,[],@barbaracampidelli6214,2024-02-09T14:36:59Z
кто с анкеты в дв?,1,[],@Coras1K,2024-02-09T14:36:33Z
I LOVE YOU❤,1,[],@user-nu9ly4hr6g,2024-02-09T14:16:50Z
Dis is the best song ever,1,[],@user-my2ch2wi1n,2024-02-09T14:08:34Z
